Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;8.0;11.0;6;20.0;1;8.0;10.0;5;20.0;
5;1;8.0;10.0;6;20.0;1;8.0;10.0;5;20.0;
6;1;9.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
7;1;9.5;10.0;6;20.0;1;9.5;10.0;5;20.0;
8;1;9.5;10.0;6;20.3999996185;1;9.5;10.0;5;20.3999996185;
9;1;9.59000015259;10.1999998093;6;20.7264003754;1;9.59000015259;10.1999998093;5;20.7264003754;
10;1;9.66343975067;10.3632001877;6;20.9903717041;1;9.66343975067;10.3632001877;5;20.9903717041;
11;1;9.72283363342;10.4951858521;5;22.0419120789;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;9.95943069458;11.3209562302;4;23.9143505096;1;9.95943069458;11.0209560394;6;22.9143505096;
13;2;11.9478340149;11.4571752548;4;24.6514065266;1;11.7228336334;11.4571752548;6;23.6214065552;
14;2;13.9478340149;11.8107032776;4;25.2438547611;1;12.7228336334;11.8107032776;6;24.1832637787;
15;2;15.9478340149;12.0916318893;4;25.7143762112;1;13.7228336334;12.0916318893;5;24.6226100922;
16;2;16.9684810638;12.3113050461;3;26.0852768421;1;14.7228336334;12.3113050461;5;24.9617595673;
17;2;17.9756240845;12.4808797836;3;26.1558350325;1;15.7228336334;12.4808797836;5;25.0;
18;2;18.9828968048;12.5;4;26.1887089014;1;16.7228336334;12.5;5;25.0;
19;2;19.8924598694;12.5;4;26.2221269608;1;17.625;12.5;6;25.0;
