Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.8999996185;8.625;4;17.25;1;13.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;13.0;10.0;5;20.0;
3;1;11.8999996185;8.625;5;17.25;1;13.0;10.0;5;20.0;
4;1;11.8999996185;8.625;5;17.25;1;14.0;10.0;5;20.0;
5;1;12.8999996185;8.625;5;17.25;1;15.0;10.0;5;20.0;
6;2;14.5;8.625;4;18.25;1;16.0;10.0;5;20.3999996185;
7;2;15.5;8.625;4;18.7174992561;1;17.0;10.1999998093;5;20.7264003754;
8;2;16.2304992676;8.79749965668;4;19.1448272467;1;17.4358406067;10.3632001877;5;21.8194274902;
9;2;16.4868965149;8.94309806824;4;20.114030838;1;18.0916557312;10.9097137451;5;22.7316036224;
10;2;17.0684185028;9.3333568573;4;20.9971549511;1;19.0916557312;11.3658018112;5;23.4745616913;
11;2;19.0684185028;9.6677980423;4;21.8030670881;1;20.0916557312;11.7372808456;4;24.0673980713;
12;2;21.0684185028;9.94955635071;4;22.5440151691;1;21.0916557312;12.0336990356;5;24.5325260162;
13;2;22.5062847137;10.1834592819;4;23.2339217663;1;22.0916557312;12.2662630081;5;24.892534256;
14;2;23.6901130676;10.3752222061;4;23.88697505;1;23.0916557312;12.446267128;5;25.0;
15;2;24.8952465057;10.5308046341;5;24.4546608925;1;24.0916557312;12.5;5;25.0;
16;2;26.1228237152;10.625;5;24.8727197647;1;25.0916557312;12.5;5;25.0;
17;2;27.3736591339;10.625;5;25.3301706314;1;26.0916557312;12.5;5;25.0;
18;2;28.6481304169;10.625;5;25.8267202377;1;27.0;12.5;6;25.0;
19;2;29.4960327148;10.625;5;26.3609733582;1;27.0;12.5;6;25.0;
20;2;29.8165836334;10.625;5;26.9302859306;1;27.0;12.5;6;25.0;
21;2;30.1581726074;10.625;5;27.5306758881;1;27.0;12.5;6;25.0;
22;2;30.5184059143;10.625;6;28.1568169594;2;28.0;12.5;5;26.0;
23;2;30.8940906525;10.625;6;28.8021335602;2;29.0;13.1999998093;5;26.0;
24;2;31.2812805176;10.625;6;29.4590082169;2;29.0;13.1999998093;5;26.0;
