Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;11.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;11.0;10.0;6;20.0;1;8.0;10.0;6;20.0;
4;1;11.0;10.0;6;20.0;1;8.0;10.0;6;20.0;
5;1;12.0;10.0;6;20.0;1;8.0;10.0;6;20.0;
6;1;13.0;10.0;6;20.0;1;9.0;10.0;6;20.0;
7;2;14.4499998093;10.0;5;21.3999996185;1;9.5;10.0;6;20.0;
8;2;14.6300001144;10.1999998093;5;21.7264003754;1;9.5;10.0;6;20.3999996185;
9;2;14.7768793106;10.3632001877;5;22.8494274616;1;9.59000015259;10.1999998093;6;20.7264003754;
10;2;15.282242775;10.9097137451;5;23.7921946049;1;9.66343975067;10.3632001877;6;20.9903717041;
11;2;17.2822418213;11.3658018112;5;24.5663278103;1;9.72283363342;10.4951858521;6;22.0419120789;
12;2;19.2822418213;11.7372808456;5;25.1909153461;1;9.95943069458;11.0209560394;6;22.9143505096;
13;2;20.3243255615;12.0336990356;5;25.6883610487;1;10.1557292938;11.4571752548;6;23.6214065552;
14;2;20.5597629547;12.2662630081;5;26.0812431574;1;10.3148164749;11.8107032776;6;24.1832637787;
15;2;20.7365608215;12.446267128;5;26.2221269608;1;11.3148164749;12.0916318893;6;24.6226100922;
16;2;20.7999572754;12.5;5;26.2560760975;1;12.3148164749;12.3113050461;6;24.9617595673;
17;2;22.7668762207;12.5;5;26.2905418873;2;13.6163959503;12.6808795929;5;26.0;
18;2;23.7823848724;12.5;5;26.3255085945;2;16.3148155212;12.5;5;26.1299999952;
19;2;24.7981204987;12.5;5;26.3609591722;2;17.5690670013;12.5;5;26.2754310369;
