Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;14.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;12.0;6;20.0;
4;1;8.0;11.0;5;20.0;1;8.0;11.0;6;20.0;
5;1;8.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
6;1;9.0;10.0;5;20.0;1;9.0;10.0;6;20.0;
7;1;9.5;10.0;5;20.0;1;9.5;10.0;6;20.0;
8;1;9.5;10.0;5;20.3999996185;1;9.5;10.0;6;20.3999996185;
9;1;9.59000015259;10.1999998093;5;20.7264003754;1;9.59000015259;10.1999998093;6;20.7264003754;
10;1;9.66343975067;10.3632001877;5;20.9903717041;1;9.66343975067;10.3632001877;6;20.9903717041;
11;1;9.72283363342;10.4951858521;5;22.0419120789;2;9.72283363342;10.7951860428;5;23.0419120789;
12;1;9.95943069458;11.0209560394;5;22.9143505096;2;10.184431076;11.0209560394;5;23.9543504715;
13;1;11.7228336334;11.4571752548;5;23.6214065552;2;11.9568338394;11.4571752548;5;24.7025904655;
14;2;13.7228336334;12.1107034683;4;25.1832637787;2;13.9568338394;11.8107032776;5;25.3068172932;
15;2;15.7228336334;12.0916318893;4;25.662610054;2;15.9568338394;12.0916318893;5;25.789717555;
16;2;16.9568328857;12.3113050461;4;26.0429434776;2;16.9854335785;12.3113050461;5;26.1736010313;
17;2;17.9661006927;12.4808797836;4;26.1235535145;2;17.9954986572;12.4808797836;5;26.2577478886;
18;2;18.9756336212;12.5;5;26.1671074629;2;19.0058269501;12.5;6;26.3048160076;
19;2;19.8875999451;12.5;5;26.211841464;2;19.9185829163;12.5;6;26.3530313969;
20;2;19.8976650238;12.5;5;26.2577478886;2;19.9294319153;12.5;6;26.4023760557;
21;2;19.9079933167;12.5;5;26.3048160076;2;19.9405345917;12.5;6;26.4528282881;
22;2;19.9185829163;12.5;5;26.3530313969;2;19.9518871307;12.5;6;26.5043625832;
23;2;19.9294319153;12.5;6;26.4023760557;2;19.9634819031;12.5;6;26.5569496155;
24;3;19.9405345917;12.5;5;26.4528282881;2;19.9753131866;12.5;6;26.6105561256;
25;3;19.9518871307;12.5;5;26.5043625832;2;19.9873752594;12.5;7;26.6651450396;
26;3;19.9634819031;12.5;5;26.5569496155;3;19.9996566772;12.5;7;26.72067523;
27;3;19.625;13.1227798462;6;26.6105561256;4;20.0121517181;12.5;6;26.7771017551;
28;3;19.9873752594;12.5;6;26.6651450396;4;20.024848938;12.5;6;26.8343759775;
29;3;19.9996566772;12.5;6;26.72067523;4;18.0377349854;13.5;6;26.8924454451;
30;3;18.0121517181;13.5;6;26.7771017551;4;17.0508003235;14.5;6;26.9512542486;
31;3;17.024848938;14.5;6;26.8343759775;4;16.064031601;15.5;8;27.0107431412;
