Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;11.0;6;20.0;
5;1;9.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
6;1;10.0;10.0;5;20.0;1;9.0;10.0;6;20.0;
7;1;11.0;10.0;5;20.0;1;9.5;10.0;6;20.0;
8;2;11.0;10.1999998093;4;21.3999996185;1;9.5;10.0;6;20.3999996185;
9;2;11.4200000763;10.1999998093;4;21.7264003754;1;9.59000015259;10.1999998093;6;20.7264003754;
10;2;11.5179204941;10.3632001877;4;21.9903717041;1;9.66343975067;10.3632001877;6;20.9903717041;
11;2;11.597111702;10.4951858521;4;23.0719120502;1;9.72283363342;10.4951858521;6;22.0419120789;
12;2;11.9215736389;11.0209560394;3;23.9749414921;2;9.95943069458;11.3209562302;5;23.9143505096;
13;2;13.9215736389;11.4571752548;4;24.7131726742;2;11.9478340149;11.4571752548;5;24.6414065361;
14;2;15.9215736389;11.8107032776;4;25.3067810535;2;13.9478340149;11.8107032776;4;25.2234597206;
15;2;16.94962883;12.0916318893;4;25.7784451246;2;15.7228336334;12.4036903381;4;25.6831918955;
16;2;17.9593238831;12.3113050461;4;26.1504684687;2;16.9614639282;12.3113050461;4;26.0429104567;
17;2;18.9691867828;12.4808797836;4;26.2221269608;2;17.7228336334;12.8052253723;4;26.1018965244;
18;2;19.9792118073;12.5;4;26.2560760975;2;18.7228336334;12.8305692673;5;26.1228116751;
19;2;20.989397049;12.5;4;26.2905418873;2;19.625;12.8368434906;5;26.1438889503;
20;2;21.8871631622;12.5;5;26.3255085945;2;19.625;12.8431663513;6;26.1651208401;
