Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;9.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;9.0;10.0;6;20.0;1;8.0;12.0;5;20.0;
4;1;9.0;10.0;6;20.0;1;8.0;11.0;5;20.0;
5;1;10.0;10.0;6;20.0;1;8.0;10.0;5;20.0;
6;1;11.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
7;1;11.0;10.0;6;20.3999996185;1;9.5;10.0;4;20.0;
8;2;11.4200000763;10.1999998093;5;21.7264003754;1;9.5;10.0;4;20.3999996185;
9;2;11.5179204941;10.3632001877;5;21.9903717041;1;9.59000015259;10.1999998093;4;20.7264003754;
10;2;11.597111702;10.4951858521;5;23.0819120407;1;9.66343975067;10.3632001877;4;20.9903717041;
11;2;11.9245738983;11.0209560394;5;23.99553442;1;9.72283363342;10.4951858521;4;22.0419120789;
12;2;13.9245738983;11.4571752548;4;24.7449600697;1;9.95943069458;11.0209560394;4;22.9143505096;
13;2;15.9245738983;11.8107032776;4;25.3503712416;1;11.7228336334;11.4571752548;4;23.6214065552;
14;2;16.6051120758;12.0916318893;4;25.8344515562;1;12.7228336334;11.8107032776;4;24.1832637787;
15;2;16.7503356934;12.3113050461;4;26.2195074558;1;13.7228336334;12.0916318893;4;24.6226100922;
16;2;16.865852356;12.4808797836;4;26.3048160076;1;14.7228336334;12.3113050461;4;24.9617595673;
17;2;18.7782287598;12.5;4;26.3530313969;1;15.7228336334;12.4808797836;3;25.0;
18;2;19.7926940918;12.5;4;26.4023760557;1;16.7228336334;12.5;4;25.0;
19;2;20.8074970245;12.5;4;26.4528282881;1;17.625;12.5;4;25.0;
20;2;21.8226318359;12.5;4;26.5043625832;1;17.625;12.5;4;25.0;
21;2;21.9513092041;12.5;6;26.5569496155;1;17.625;12.5;4;25.0;
22;2;21.9670848846;12.5;6;26.6105561256;1;17.625;12.5;5;25.0;
23;2;21.9831676483;12.5;6;26.6651450396;1;17.625;12.5;5;25.0;
24;2;21.9995441437;12.5;6;26.72067523;1;17.625;12.5;5;25.0;
25;2;22.0162029266;12.5;6;26.7771017551;1;17.625;12.5;6;25.0;
26;2;22.0331306458;12.5;8;26.8343759775;1;17.625;12.5;6;25.0;
27;2;21.5;13.2337503433;8;26.8924454451;1;17.625;12.5;7;25.0;
28;2;22.0677337646;12.5;9;26.9512542486;1;17.625;12.5;7;25.0;
29;2;22.0853767395;12.5;9;27.0107431412;1;17.625;12.5;7;25.0;
30;2;20.1032218933;13.5;9;27.0708494186;1;17.625;12.5;7;25.0;
31;2;19.1212539673;14.5;10;27.1315076351;1;15.625;13.5;7;25.0;
32;2;18.1394519806;15.5;10;27.1926498413;1;14.625;14.5;7;25.0;
