Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;2;11.3000001907;10.0;3;21.0;1;9.0;10.0;5;20.0;
4;2;11.3000001907;10.0;2;21.0900000334;1;9.0;10.0;5;20.0;
5;2;12.4905004501;10.0;2;21.1871190071;1;10.0;10.0;5;20.0;
6;2;13.5342035294;10.0;2;21.2917383909;1;11.0;10.0;5;20.0;
7;2;14.5812826157;10.0;2;21.817143321;1;11.0;10.0;5;20.3999996185;
8;2;14.8177146912;10.1999998093;2;22.2793469429;1;11.1199998856;10.1999998093;5;20.7264003754;
9;2;15.0257053375;10.3632001877;2;23.5656701326;1;11.2179203033;10.3632001877;5;20.9903717041;
10;2;15.604552269;10.9097137451;2;24.691826582;1;11.2971115112;10.4951858521;5;22.0419120789;
11;2;17.6045513153;11.3658018112;2;25.6707911491;1;11.6125736237;11.0209560394;5;22.9143505096;
12;2;19.6045513153;11.7372808456;2;26.5228655338;1;11.8743057251;11.4571752548;5;23.6214065552;
13;2;20.92370224;12.0336990356;3;27.2714657784;1;13.6125736237;11.8107032776;6;24.1832637787;
14;2;22.0512657166;12.2662630081;3;27.9399077892;1;14.6125736237;12.0916318893;5;24.6226100922;
15;2;23.1900615692;12.446267128;3;28.3811409473;1;15.6125736237;12.3113050461;5;24.9617595673;
16;2;24.3402557373;12.5;3;28.7401795387;1;16.6125736237;12.4808797836;5;25.0;
17;2;25.5018234253;12.5;3;29.1239151955;1;17.6125736237;12.5;5;25.0;
18;2;26.6745052338;12.5;3;29.5311965942;1;18.6125736237;12.5;5;25.0;
