Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;21.0;1;8.0;12.0;6;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;11.0;6;20.0;
5;1;8.27600002289;10.9200000763;5;22.5301437378;1;10.0;10.0;6;20.0;
6;1;9.27600002289;11.2650718689;5;23.086605072;1;11.0;10.0;5;20.0;
7;1;10.194486618;11.543302536;5;23.5283432007;1;12.0;10.0;5;20.0;
8;1;10.2938766479;11.7641716003;5;24.1098823547;1;13.0;10.0;5;20.3999996185;
9;1;10.4247236252;12.0549411774;5;24.5655879974;1;14.0;10.1999998093;5;20.7264003754;
10;1;10.5272569656;12.2827939987;4;24.9179592133;1;14.3268795013;10.3632001877;5;21.8194274902;
11;1;10.6065406799;12.4589796066;5;25.0;1;14.8187427521;10.9097137451;5;22.7316036224;
12;1;12.5272569656;12.5;4;25.0;1;15.2292222977;11.3658018112;5;23.4745616913;
13;2;14.5272569656;12.6999998093;3;26.0;1;16.8187427521;11.7372808456;5;24.0673980713;
14;2;16.527256012;12.5;3;26.0299999714;1;17.8187427521;12.0336990356;5;24.5325260162;
15;2;17.527256012;12.5;3;26.0605909824;1;18.8187427521;12.2662630081;5;24.892534256;
16;2;18.527256012;12.5;3;26.091766119;1;19.8187427521;12.446267128;5;25.0;
17;2;19.527256012;12.5;3;26.1235172749;1;20.8187427521;12.5;5;25.0;
18;2;19.625;12.5;3;26.1558350325;1;21.8187427521;12.5;6;25.0;
19;2;19.625;12.5;3;26.1887089014;1;22.8187427521;12.5;7;25.0;
20;2;19.625;12.5;4;26.2221269608;1;23.25;12.5;7;25.0;
