Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;11.0;6;20.0;1;9.0;10.0;5;20.0;
5;2;10.0;10.3000001907;5;21.0;1;9.0;10.0;5;20.0;
6;2;11.4499998093;10.0;5;21.0900000334;1;10.0;10.0;5;20.0;
7;2;12.4905004501;10.0;5;21.1871190071;2;11.0;10.1999998093;4;21.0;
8;2;13.5342035294;10.0;5;21.7036092281;2;11.3000001907;10.0;4;21.3999996185;
9;2;14.5866241455;10.1999998093;5;22.1564130783;2;11.4200000763;10.1999998093;4;21.7264003754;
10;2;14.9703855515;10.3632001877;4;23.4291926622;2;11.5179204941;10.3632001877;4;21.9903717041;
11;2;15.5431365967;10.9097137451;4;24.540822506;2;11.597111702;10.4951858521;4;23.0719120502;
12;2;16.0433712006;11.3658018112;4;25.5043385029;2;11.9215736389;11.0209560394;3;23.9749414921;
13;2;18.6328907013;11.7372808456;4;26.3401436806;2;13.9215736389;11.4571752548;4;24.7131726742;
14;2;20.6328907013;12.0336990356;4;27.0718023777;2;15.9215736389;11.8107032776;4;25.3067810535;
15;2;21.9614181519;12.2662630081;4;27.7228300571;2;16.94962883;12.0916318893;4;25.7784451246;
16;2;23.092376709;12.446267128;4;28.1464314461;2;17.9593238831;12.3113050461;4;26.1504684687;
17;2;24.2346363068;12.5;4;28.4879314899;2;18.9691867828;12.4808797836;4;26.2221269608;
18;2;25.3883113861;12.5;5;28.8545851707;2;19.9792118073;12.5;4;26.2560760975;
