Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;14.1000003815;4;23.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;13.1000003815;6;23.0;1;11.8999996185;8.625;5;17.25;
3;1;8.0;12.1000003815;6;23.0;1;11.8999996185;8.625;4;17.25;
4;1;9.0;11.5;6;23.0;1;11.8999996185;8.625;4;17.25;
5;1;9.60000038147;11.5;6;23.0;1;12.8999996185;8.625;4;17.25;
6;1;10.6000003815;11.5;6;23.0;1;13.8999996185;8.625;4;17.25;
7;1;11.6000003815;11.5;6;23.0;1;14.8999996185;8.625;4;17.5949993134;
8;1;11.8999996185;11.5;6;23.4599990845;1;15.5569992065;8.79749965668;4;17.8861961365;
9;1;12.0380001068;11.7299995422;6;23.8212833405;1;15.7317180634;8.94309806824;4;18.6667137146;
10;1;12.1463851929;11.9106416702;6;24.0;1;16.2000274658;9.3333568573;3;19.3355960846;
11;1;12.2000007629;12.0;6;25.2000007629;1;17.2000274658;9.6677980423;3;19.8991127014;
12;1;14.1463851929;12.6000003815;6;26.1576004028;1;18.2000274658;9.94955635071;3;20.3669185638;
13;1;15.1463851929;13.0788002014;6;26.9011039734;1;19.2000274658;10.1834592819;3;20.7504444122;
14;1;16.1463851929;13.4505519867;6;27.4657306671;1;20.2000274658;10.3752222061;3;21.0616092682;
15;1;17.1463851929;13.7328653336;6;27.88712883;1;21.2000274658;10.5308046341;4;21.25;
16;1;18.1463851929;13.943564415;7;28.0;1;22.2000274658;10.625;4;21.25;
17;1;19.1463851929;14.0;7;28.0;1;23.2000274658;10.625;4;21.25;
18;1;20.1463851929;14.0;7;28.0;1;24.2000274658;10.625;4;21.25;
19;1;20.3999996185;14.0;7;28.0;1;24.75;10.625;4;21.25;
20;1;20.3999996185;14.0;7;28.0;1;24.75;10.625;4;21.25;
21;1;20.3999996185;14.0;7;28.0;1;24.75;10.625;4;21.25;
22;1;20.3999996185;14.0;8;28.0;1;24.75;10.625;4;21.25;
23;1;20.3999996185;14.0;8;28.0;1;24.75;10.625;5;21.25;
24;1;20.3999996185;14.0;8;28.0;1;24.75;10.625;5;21.25;
25;1;20.3999996185;14.0;8;28.0;1;24.75;10.625;6;21.25;
26;1;20.3999996185;14.0;8;28.0;1;24.75;10.625;6;21.25;
27;1;20.3999996185;14.0;8;28.0;1;24.75;10.625;6;21.25;
28;2;21.3999996185;14.5;7;29.0;1;24.75;10.625;6;21.25;
29;2;22.3999996185;14.0;7;29.0399999619;1;24.75;10.625;6;21.25;
30;2;22.7119998932;14.0;8;29.0811839104;1;24.75;10.625;6;21.25;
31;2;20.7243537903;15.0;8;29.1235535145;1;24.75;10.625;6;21.25;
32;2;19.7370662689;16.0;8;29.1671074629;1;24.75;10.625;7;21.25;
33;2;18.7501316071;17.0;6;29.211841464;1;24.75;10.625;8;21.25;
34;2;17.763551712;18.0;6;29.2577478886;1;24.75;10.625;8;21.25;
