Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
5;1;12.0;10.0;5;20.0;1;10.0;10.0;4;20.0;
6;1;13.0;10.0;5;20.0;1;11.0;10.0;3;20.0;
7;1;14.0;10.0;5;20.3999996185;1;11.0;10.0;3;20.3999996185;
8;1;14.1800003052;10.1999998093;5;20.7264003754;1;11.1199998856;10.1999998093;3;20.7264003754;
9;1;14.3268795013;10.3632001877;4;21.8194274902;1;11.2179203033;10.3632001877;3;20.9903717041;
10;1;14.8187427521;10.9097137451;4;22.7316036224;1;11.2971115112;10.4951858521;3;22.0419120789;
11;1;15.8187427521;11.3658018112;4;23.4745616913;1;11.6125736237;11.0209560394;3;22.9143505096;
12;1;16.8187427521;11.7372808456;4;24.0673980713;1;11.8743057251;11.4571752548;3;23.6214065552;
13;1;17.8187427521;12.0336990356;5;24.5325260162;1;13.6125736237;11.8107032776;4;24.1832637787;
14;1;18.8187427521;12.2662630081;5;24.892534256;1;14.6125736237;12.0916318893;4;24.6226100922;
15;1;19.8187427521;12.446267128;5;25.0;1;15.6125736237;12.3113050461;4;24.9617595673;
16;1;20.8187427521;12.5;5;25.0;1;16.6125736237;12.4808797836;4;25.0;
17;1;21.8187427521;12.5;5;25.0;1;17.6125736237;12.5;4;25.0;
18;1;22.8187427521;12.5;5;25.0;1;18.6125736237;12.5;4;25.0;
19;1;23.25;12.5;5;25.0;1;19.5;12.5;4;25.0;
