Turn;Planet_count_KI_1_SP_CHATO;Research_KI_1_SP_CHATO;Industry_KI_1_SP_CHATO;Ships_KI_1_SP_CHATO;Population_KI_1_SP_CHATO;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;13.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;13.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;13.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;14.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
5;1;15.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
6;1;16.0;10.0;5;20.3999996185;1;9.0;10.0;5;20.0;
7;1;17.0;10.1999998093;5;20.7264003754;1;9.5;10.0;4;20.0;
8;1;17.4358406067;10.3632001877;5;21.8194274902;1;9.5;10.0;4;20.3999996185;
9;1;18.0916557312;10.9097137451;5;22.7316036224;1;9.59000015259;10.1999998093;4;20.7264003754;
10;1;19.0916557312;11.3658018112;5;23.4745616913;1;9.66343975067;10.3632001877;4;20.9903717041;
11;1;20.0916557312;11.7372808456;5;24.0673980713;1;9.72283363342;10.4951858521;4;22.0419120789;
12;1;21.0916557312;12.0336990356;6;24.5325260162;1;9.95943069458;11.0209560394;5;22.9143505096;
13;1;22.0916557312;12.2662630081;6;24.892534256;1;11.7228336334;11.4571752548;5;23.6214065552;
14;1;23.0916557312;12.446267128;6;25.0;1;12.7228336334;11.8107032776;5;24.1832637787;
15;1;24.0916557312;12.5;6;25.0;1;13.7228336334;12.0916318893;5;24.6226100922;
16;1;25.0916557312;12.5;6;25.0;1;14.7228336334;12.3113050461;5;24.9617595673;
17;1;26.0916557312;12.5;6;25.0;1;15.7228336334;12.4808797836;5;25.0;
18;1;27.0;12.5;7;25.0;1;16.7228336334;12.5;5;25.0;
19;1;27.0;12.5;7;25.0;1;17.625;12.5;6;25.0;
20;1;27.0;12.5;7;25.0;1;17.625;12.5;6;25.0;
21;1;27.0;12.5;7;25.0;1;17.625;12.5;6;25.0;
22;1;27.0;12.5;7;25.0;1;17.625;12.5;7;25.0;
23;1;27.0;12.5;7;25.0;1;17.625;12.5;7;25.0;
24;1;27.0;12.5;6;25.0;1;17.625;12.5;8;25.0;
25;1;27.0;12.5;6;25.0;1;17.625;12.5;8;25.0;
26;1;27.0;12.5;6;25.0;1;17.625;12.5;8;25.0;
27;1;27.0;12.5;6;25.0;1;17.625;12.5;8;25.0;
28;1;27.0;12.5;6;25.0;1;17.625;12.5;8;25.0;
29;2;27.0;12.5;6;25.0;1;17.625;12.5;8;25.0;
30;2;27.0;12.5;6;25.0;1;17.625;12.5;8;25.0;
31;2;27.0;12.5;6;25.0;1;17.625;12.5;9;25.0;
32;2;27.0;12.5;6;25.0;1;17.625;12.5;8;25.0;
33;2;27.0;12.5;6;25.0;1;17.625;12.5;8;25.0;
34;2;27.0;12.5;7;25.0;1;17.625;12.5;8;25.0;
35;2;27.0;13.5;6;25.0;1;17.625;12.5;8;25.0;
36;2;27.0;14.5;6;25.0;1;17.625;12.5;8;25.0;
37;2;27.0;15.5;7;25.0;1;17.625;12.5;8;25.0;
