Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;6;21.0;1;8.0;12.0;6;20.0;
4;1;8.14999961853;10.5;6;21.8400001526;1;8.0;11.0;6;20.0;
5;1;8.27600002289;10.9200000763;6;22.5301437378;1;8.0;10.0;6;20.0;
6;1;9.27600002289;11.2650718689;5;23.086605072;1;9.0;10.0;5;20.0;
7;1;10.194486618;11.543302536;5;23.5283432007;1;9.5;10.0;5;20.0;
8;1;10.2938766479;11.7641716003;5;24.1098823547;1;9.5;10.0;5;20.3999996185;
9;1;10.4247236252;12.0549411774;5;24.5655879974;1;9.59000015259;10.1999998093;4;20.7264003754;
10;1;10.5272569656;12.2827939987;5;24.9179592133;1;9.66343975067;10.3632001877;4;20.9903717041;
11;1;10.6065406799;12.4589796066;5;25.0;1;9.72283363342;10.4951858521;4;22.0419120789;
12;1;11.6065406799;12.5;5;25.0;2;9.95943069458;11.3209562302;3;23.9143505096;
13;1;12.6065406799;12.5;5;25.0;2;11.9478340149;11.4571752548;3;24.6414065361;
14;1;13.6065406799;12.5;5;25.0;2;13.9478340149;11.8107032776;3;25.2234597206;
15;1;14.6065406799;12.5;5;25.0;2;15.9478340149;12.0916318893;3;25.6831918955;
16;1;15.6065406799;12.5;5;25.0;2;16.9614639282;12.3113050461;3;26.0429104567;
17;1;16.6065406799;12.5;6;25.0;2;17.9660930634;12.4808797836;3;26.1018965244;
18;1;17.6065406799;12.5;6;25.0;2;18.9707603455;12.5;4;26.1228116751;
19;1;17.625;12.5;7;25.0;2;19.8776321411;12.5;4;26.1438889503;
20;1;17.625;12.5;7;25.0;2;19.8823757172;12.5;4;26.1651208401;
21;1;17.625;12.5;7;25.0;2;19.8871517181;12.5;4;26.1864993572;
22;1;17.625;12.5;7;25.0;2;19.8919620514;12.5;4;26.2080165148;
23;1;17.625;12.5;7;25.0;2;19.8968029022;12.5;5;26.2296639681;
24;1;17.625;12.5;7;25.0;3;19.9016742706;12.5;4;26.2514331341;
25;1;17.625;12.5;8;25.0;3;19.9065723419;12.5;5;26.2733153105;
26;1;17.625;12.5;8;25.0;3;19.9114952087;12.5;5;26.2953014374;
27;1;17.625;12.5;8;25.0;3;19.9164428711;12.5;5;26.3173824549;
28;1;17.625;12.5;8;25.0;3;19.625;13.0269527435;5;26.3395489454;
29;1;17.625;12.5;8;25.0;3;17.926399231;13.5;5;26.3617914915;
30;1;17.625;12.5;8;25.0;3;16.9314041138;14.5;5;26.3841004372;
31;1;17.625;12.5;8;25.0;3;15.936422348;15.5;5;26.4064661264;
32;2;17.625;12.5;7;25.0;3;14.9414548874;16.5;5;26.428878665;
33;2;17.625;12.5;7;25.0;3;14.3214979172;17.5;5;26.4513280392;
34;2;17.625;12.5;7;25.0;3;14.3265485764;18.5;5;26.4738043547;
