Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;9.0;10.0;4;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;10.0;4;20.0;1;8.0;10.0;5;20.0;
5;1;10.0;10.0;4;20.0;1;8.0;10.0;5;20.0;
6;1;11.0;10.0;4;20.0;1;9.0;10.0;5;20.0;
7;2;11.3000001907;10.0;3;21.3999996185;1;9.5;10.0;5;20.0;
8;2;11.4200000763;10.1999998093;3;21.7264003754;1;9.5;10.0;5;20.3999996185;
9;2;11.5179204941;10.3632001877;3;21.9903717041;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;11.597111702;10.4951858521;3;23.0919120312;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;11.927573204;11.0209560394;3;24.0163254738;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;13.9275741577;11.4571752548;3;24.7773565054;1;9.95943069458;11.0209560394;6;22.9143505096;
13;2;15.9275741577;11.8107032776;4;25.395208478;1;11.7228336334;11.4571752548;6;23.6214065552;
14;2;16.9761562347;12.0916318893;4;25.8925833702;1;12.7228336334;11.8107032776;6;24.1832637787;
15;2;17.9935646057;12.3113050461;4;26.2918028831;1;13.7228336334;12.0916318893;6;24.6226100922;
16;2;19.0115871429;12.4808797836;4;26.3921557665;1;14.7228336334;12.3113050461;6;24.9617595673;
17;2;20.0302200317;12.5;4;26.4563041925;1;15.7228336334;12.4808797836;6;25.0;
18;2;21.0494651794;12.5;4;26.5224741697;1;16.7228336334;12.5;6;25.0;
19;2;21.956741333;12.5;5;26.5906432867;1;17.625;12.5;7;25.0;
20;2;21.977191925;12.5;5;26.6607804298;1;17.625;12.5;7;25.0;
21;2;21.9982337952;12.5;5;26.7328453064;1;17.625;12.5;7;25.0;
22;2;22.0198535919;12.5;5;26.8067884445;1;17.625;12.5;8;25.0;
23;2;22.0420360565;12.5;5;26.8825509548;1;17.625;12.5;8;25.0;
24;2;22.0647659302;12.5;6;26.9600640535;1;17.625;12.5;8;25.0;
25;3;22.0880184174;12.5;5;27.0392494202;1;17.625;12.5;8;25.0;
26;3;22.1117744446;12.5;5;27.120018959;1;17.625;12.5;8;25.0;
27;3;21.5;13.3480072021;5;27.2022752762;1;17.625;12.5;8;25.0;
28;3;22.1606826782;12.5;5;27.2859115601;1;17.625;12.5;8;25.0;
29;3;21.5;13.4143648148;5;27.3708124161;1;17.625;12.5;8;25.0;
30;3;21.5;13.4483251572;5;27.4568536282;1;17.625;12.5;8;25.0;
31;3;21.5;13.4827413559;5;27.5439035892;1;17.625;12.5;8;25.0;
32;3;22.2631721497;12.5;5;27.6318233013;1;17.625;12.5;8;25.0;
33;3;21.5;13.5;5;27.7204678059;1;17.625;12.5;9;25.0;
34;3;22.3161411285;12.5;5;27.8096864223;1;17.625;12.5;9;25.0;
35;3;22.3429069519;12.5;5;27.8993241787;1;17.625;12.5;9;25.0;
36;3;21.5;13.5;5;27.989222765;1;17.625;12.5;9;25.0;
37;3;22.3967666626;12.5;5;28.079221487;1;17.625;12.5;9;25.0;
38;3;21.5;13.5;5;28.1691586971;1;17.625;12.5;9;25.0;
