Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;12.0;4;20.0;1;11.3999996185;16.0;4;32.0;
2;1;7.0;11.0;5;20.0;1;11.3999996185;16.0;6;32.0;
3;1;8.0;10.0;5;21.0;1;11.3999996185;16.0;6;32.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;11.3999996185;16.0;6;32.0;
5;1;8.27600002289;10.9200000763;5;22.5301437378;1;12.3999996185;16.0;6;32.0;
6;2;9.27600002289;11.4650716782;4;24.086605072;1;13.3999996185;16.0;6;32.0;
7;2;10.4194869995;11.543302536;4;24.6483432055;1;14.3999996185;16.0;6;32.6399993896;
8;2;10.545876503;11.7641716003;4;25.3741383553;1;14.7919998169;16.3199996948;6;33.0;
9;2;10.7091808319;12.0549411774;4;25.9908564091;1;14.8999996185;16.5;6;34.6500015259;
10;2;10.8479423523;12.2827939987;4;26.5224512815;1;16.7919998169;17.3250007629;6;35.8107757568;
11;2;10.9675512314;12.4589796066;5;26.8033770323;1;17.7919998169;17.9053878784;6;36.5947532654;
12;2;13.8882675171;12.5;5;27.0233280659;1;18.7919998169;18.2973766327;6;37.0;
13;2;15.8882675171;12.5;5;27.2656555176;1;19.7919998169;18.5;7;37.0;
14;2;17.0370292664;12.5;5;27.5315153599;1;20.7919998169;18.5;7;37.0;
15;2;18.0968475342;12.5;4;27.8218417168;1;21.7919998169;18.5;8;37.0;
16;2;19.1621704102;12.5;4;28.1372716427;1;22.7919998169;18.5;8;37.0;
17;2;20.2331428528;12.5;3;28.4780650139;1;23.1000003815;18.5;8;37.0;
18;2;20.4075641632;12.5;4;28.8440246582;1;23.1000003815;18.5;9;37.0;
19;2;20.489906311;12.5;4;29.2344226837;1;23.1000003815;18.5;9;37.0;
20;2;20.5777454376;12.5;4;29.6479387283;1;23.1000003815;18.5;10;37.0;
21;2;20.6707859039;12.5;5;30.082616806;1;23.1000003815;18.5;8;37.0;
22;2;20.7685890198;12.5;5;30.5358533859;1;23.1000003815;18.5;8;37.0;
23;2;20.8705673218;12.5;5;31.0044159889;1;23.1000003815;18.5;8;37.0;
24;2;20.9759941101;12.5;5;31.4845042229;1;23.1000003815;18.5;8;37.0;
25;2;21.0840129852;12.5;5;31.9718470573;1;23.1000003815;18.5;8;37.0;
26;2;19.625;13.5;5;32.4618391991;1;23.1000003815;18.5;9;37.0;
