Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;8.0;11.0;6;20.0;1;8.0;10.0;5;20.0;
5;1;8.0;10.0;6;20.0;1;8.0;10.0;5;20.0;
6;1;9.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
7;1;9.5;10.0;6;20.0;1;9.5;10.0;5;20.0;
8;1;9.5;10.0;6;20.3999996185;1;9.5;10.0;5;20.3999996185;
9;1;9.59000015259;10.1999998093;6;20.7264003754;1;9.59000015259;10.1999998093;5;20.7264003754;
10;1;9.66343975067;10.3632001877;6;20.9903717041;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;9.72283363342;10.9951858521;5;23.0419120789;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;9.95943069458;11.5209560394;5;23.9543504715;1;9.95943069458;11.0209560394;6;22.9143505096;
13;2;11.7228336334;11.9771747589;5;24.7025904655;1;11.7228336334;11.4571752548;6;23.6214065552;
14;2;13.7228336334;12.3512954712;5;25.3068172932;1;12.7228336334;11.8107032776;6;24.1832637787;
15;2;15.7228336334;12.6534090042;5;25.789717555;1;13.7228336334;12.0916318893;6;24.6226100922;
16;2;16.7228336334;12.8948583603;5;26.1736010313;1;14.7228336334;12.3113050461;6;24.9617595673;
17;2;17.7228336334;13.0868005753;5;26.2577478886;1;15.7228336334;12.4808797836;6;25.0;
18;2;18.7228336334;13.1288738251;6;26.3048160076;2;17.7228336334;12.6999998093;5;26.0;
