Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;13.3000001907;4;17.0;1;9.0;10.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;9.0;10.0;5;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;9.0;10.0;6;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;9.0;10.0;6;20.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;10.0;10.0;6;20.0;
6;1;8.55000019073;8.5;5;17.0;1;11.0;10.0;6;20.0;
7;1;8.82499980927;8.5;5;17.0;1;11.0;10.0;6;20.3999996185;
8;1;8.82499980927;8.5;5;17.0;2;11.4200000763;10.1999998093;5;21.7264003754;
9;2;8.82499980927;8.89999961853;4;18.3400001526;2;11.5179204941;10.3632001877;5;21.9903717041;
10;2;9.12650108337;8.67000007629;4;18.6828438044;2;11.597111702;10.4951858521;5;23.0619120598;
11;2;9.20363998413;8.81392192841;4;18.9821708202;2;11.9185733795;11.0209560394;5;23.9545464516;
12;2;9.27098941803;8.93486309052;4;19.9811184406;2;13.9185733795;11.4571752548;5;24.6819883585;
13;2;9.49575138092;9.39324569702;5;20.8599610329;2;15.9185733795;11.8107032776;4;25.2644146681;
14;2;11.3091163635;9.78903102875;5;21.6224384308;2;16.5793247223;12.0916318893;4;25.7245066166;
15;2;13.3091163635;10.1240053177;5;22.2775965929;2;16.7173519135;12.3113050461;3;26.0845712423;
16;2;15.3091163635;10.4026165009;5;22.837695837;2;16.8253707886;12.4808797836;3;26.1438889503;
17;2;16.37525177;10.6309299469;5;23.3163695335;2;18.7299499512;12.5;3;26.1651208401;
18;2;17.3998031616;10.8157100677;5;23.7272430658;2;19.7363204956;12.5;3;26.1864993572;
19;2;18.4256401062;10.9637317657;5;23.9203687906;2;20.7427330017;12.5;3;26.2080165148;
