Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;13.3000001907;4;17.0;1;9.0;10.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;9.0;10.0;5;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;9.0;10.0;5;20.0;
4;2;7.55000019073;10.6999998093;4;18.0;1;9.0;10.0;5;20.0;
5;2;7.7000002861;9.30000019073;4;18.0674999952;1;10.0;10.0;5;20.0;
6;2;8.79018783569;8.5;4;18.1388356686;1;11.0;10.0;5;20.0;
7;2;9.08123779297;8.5;4;18.2141259909;1;11.0;10.0;5;20.3999996185;
8;2;9.09817790985;8.5;4;18.293479681;1;11.1199998856;10.1999998093;5;20.7264003754;
9;2;9.1160326004;8.5;4;18.7299283743;1;11.2179203033;10.3632001877;5;20.9903717041;
10;2;9.21423435211;8.67000007629;3;19.1200717688;1;11.2971115112;10.4951858521;5;22.0419120789;
11;2;9.30201625824;8.81392192841;3;19.470256567;1;11.6125736237;11.0209560394;5;22.9143505096;
12;2;9.38080787659;8.93486309052;2;20.5494670868;1;11.8743057251;11.4571752548;4;23.6214065552;
13;2;9.62362957001;9.39324569702;3;21.5171065331;1;13.6125736237;11.8107032776;5;24.1832637787;
14;2;11.4569740295;9.78903102875;3;22.3772938251;1;14.6125736237;12.0916318893;5;24.6226100922;
15;2;13.4569740295;10.1240053177;3;23.1393685341;1;15.6125736237;12.3113050461;5;24.9617595673;
16;2;15.4569740295;10.4026165009;3;23.8157744408;1;16.6125736237;12.4808797836;5;25.0;
17;2;16.5953197479;10.6309299469;3;24.4201948643;1;17.6125736237;12.5;5;25.0;
18;2;17.6481628418;10.8157100677;3;24.9661467075;1;18.6125736237;12.5;5;25.0;
19;2;18.7043933868;10.9637317657;3;25.3033924103;1;19.5;12.5;5;25.0;
