Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;11.0;6;20.0;1;8.0;10.0;5;20.0;
5;1;10.0;10.0;6;20.0;1;8.0;10.0;4;20.0;
6;1;11.0;10.0;6;20.0;1;9.0;10.0;4;20.0;
7;2;12.0;10.3000001907;5;21.0;1;9.5;10.0;4;20.0;
8;2;13.4499998093;10.0;5;21.3999996185;1;9.5;10.0;4;20.3999996185;
9;2;14.4499998093;10.1999998093;5;21.7264003754;1;9.59000015259;10.1999998093;4;20.7264003754;
10;2;14.7768793106;10.3632001877;5;22.8494274616;1;9.66343975067;10.3632001877;4;20.9903717041;
11;2;15.282242775;10.9097137451;5;23.7921946049;1;9.72283363342;10.4951858521;4;22.0419120789;
12;2;15.7064886093;11.3658018112;5;24.5663278103;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;18.2960090637;11.7372808456;5;25.1909153461;1;11.7228336334;11.4571752548;5;23.6214065552;
14;2;20.2960090637;12.0336990356;5;25.6883610487;1;12.7228336334;11.8107032776;5;24.1832637787;
15;2;21.3388690948;12.2662630081;5;26.0812431574;1;13.7228336334;12.0916318893;5;24.6226100922;
16;2;22.3536624908;12.446267128;5;26.2221269608;1;14.7228336334;12.3113050461;5;24.9617595673;
17;2;23.3687000275;12.5;5;26.2560760975;1;15.7228336334;12.4808797836;4;25.0;
18;2;24.3839759827;12.5;6;26.2905418873;1;16.7228336334;12.5;4;25.0;
