Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;11.0;6;20.0;1;8.0;10.0;5;20.0;
5;1;10.0;10.0;6;20.0;1;8.0;10.0;5;20.0;
6;1;11.0;10.0;6;20.0;2;9.0;10.1999998093;4;21.0;
7;1;12.0;10.0;6;20.0;2;9.72500038147;10.0;4;21.0900000334;
8;1;13.0;10.0;6;20.3999996185;2;9.74524974823;10.0;4;21.5980186462;
9;1;14.0;10.1999998093;6;20.7264003754;2;9.85955429077;10.1999998093;4;22.0418490171;
10;2;14.3268795013;10.6632003784;5;22.8194274902;2;9.95941543579;10.3632001877;4;22.4332156181;
11;2;15.2687425613;10.9097137451;5;23.7716035843;2;10.0474739075;10.4951858521;4;23.6659361124;
12;2;15.6972227097;11.3658018112;5;24.5557456017;2;10.3248357773;11.0209560394;5;24.7393633127;
13;2;18.2867431641;11.7372808456;5;25.1909515858;2;12.1334619522;11.4571752548;5;25.6686143875;
14;2;20.2867431641;12.0336990356;5;25.6996334791;2;14.1334609985;11.8107032776;5;26.4751701355;
15;2;21.3439407349;12.2662630081;5;26.10437572;2;16.1334609985;12.0916318893;5;27.1828548908;
16;2;22.3640708923;12.446267128;5;26.2577478886;2;17.2988891602;12.3113050461;5;27.8148901463;
17;2;23.3847293854;12.5;5;26.3048160076;2;18.3647880554;12.4808797836;5;28.1711652279;
18;2;24.4059104919;12.5;6;26.3530313969;2;19.4363460541;12.5;5;28.5145654678;
