Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;11.0;6;20.0;
5;2;9.0;10.3999996185;3;21.0;1;8.0;10.0;6;20.0;
6;2;10.3000001907;10.0;3;21.0599999428;1;9.0;10.0;6;20.0;
7;2;11.3179998398;10.0;2;21.1229639053;1;9.5;10.0;6;20.0;
8;2;11.336889267;10.0;2;21.6001901627;1;9.5;10.0;6;20.3999996185;
9;2;11.4800567627;10.1999998093;2;22.0082015991;1;9.59000015259;10.1999998093;6;20.7264003754;
10;2;11.6024608612;10.3632001877;2;22.3582868576;1;9.66343975067;10.3632001877;6;20.9903717041;
11;2;11.7074861526;10.4951858521;2;23.5415859222;1;9.72283363342;10.4951858521;6;22.0419120789;
12;2;12.0624761581;11.0209560394;2;24.5564982891;1;9.95943069458;11.0209560394;6;22.9143505096;
13;2;14.0624761581;11.4571752548;3;25.4172240496;1;11.7228336334;11.4571752548;5;23.6214065552;
14;2;15.6125736237;12.5290298462;3;26.1443716288;1;12.7228336334;11.8107032776;5;24.1832637787;
15;2;17.2009067535;12.0916318893;3;26.7609803677;1;13.7228336334;12.0916318893;5;24.6226100922;
16;2;18.2540855408;12.3113050461;3;27.2896242142;1;14.7228336334;12.3113050461;5;24.9617595673;
17;2;18.6125736237;12.4808797836;3;27.5297403336;1;15.7228336334;12.4808797836;5;25.0;
18;2;19.6125736237;12.5;3;27.7440159321;1;16.7228336334;12.5;6;25.0;
19;2;21.4357776642;12.5;3;27.9705615044;1;17.625;12.5;6;25.0;
20;2;22.3911685944;12.5;4;28.2090809345;1;17.625;12.5;7;25.0;
