Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;13.0;10.0;5;20.0;
3;1;8.0;12.0;5;20.0;1;13.0;10.0;6;20.0;
4;1;9.0;11.0;5;20.0;1;14.0;10.0;6;20.0;
5;1;10.0;10.0;5;20.0;1;15.0;10.0;6;20.0;
6;1;11.0;10.0;5;20.0;1;16.0;10.0;6;20.3999996185;
7;1;12.0;10.0;5;20.0;1;17.0;10.1999998093;6;20.7264003754;
8;1;13.0;10.0;5;20.3999996185;1;17.4358406067;10.3632001877;6;21.8194274902;
9;1;14.0;10.1999998093;5;20.7264003754;1;18.0916557312;10.9097137451;6;22.7316036224;
10;1;14.3268795013;10.3632001877;4;21.8194274902;1;19.0916557312;11.3658018112;6;23.4745616913;
11;1;14.8187427521;10.9097137451;4;22.7316036224;1;20.0916557312;11.7372808456;6;24.0673980713;
12;1;15.2292222977;11.3658018112;4;23.4745616913;1;21.0916557312;12.0336990356;6;24.5325260162;
13;1;16.8187427521;11.7372808456;4;24.0673980713;1;21.7195167542;12.2662630081;6;24.892534256;
14;1;17.8187427521;12.0336990356;4;24.5325260162;1;21.9355201721;12.446267128;6;25.0;
15;1;18.8187427521;12.2662630081;4;24.892534256;1;22.0;12.5;6;25.0;
16;1;19.8187427521;12.446267128;4;25.0;1;23.9355201721;12.5;6;25.0;
17;1;20.8187427521;12.5;4;25.0;1;24.9355201721;12.5;6;25.0;
18;1;21.8187427521;12.5;5;25.0;1;25.9355201721;12.5;7;25.0;
19;1;22.8187427521;12.5;6;25.0;1;26.9355201721;12.5;7;25.0;
20;1;23.25;12.5;6;25.0;1;27.0;12.5;7;25.0;
21;1;23.25;12.5;6;25.0;1;27.0;12.5;7;25.0;
22;1;23.25;12.5;6;25.0;1;27.0;12.5;7;25.0;
23;1;23.25;12.5;7;25.0;1;27.0;12.5;7;25.0;
24;1;23.25;12.5;8;25.0;1;27.0;12.5;7;25.0;
25;1;23.25;12.5;8;25.0;1;27.0;12.5;7;25.0;
26;1;21.25;13.5;8;25.0;1;27.0;12.5;7;25.0;
27;1;20.25;14.5;8;25.0;1;27.0;12.5;8;25.0;
28;1;19.25;15.5;8;25.0;1;27.0;12.5;8;25.0;
29;1;18.25;16.5;8;25.0;1;27.0;12.5;8;25.0;
30;1;17.25;17.5;8;25.0;1;27.0;12.5;8;25.0;
31;1;16.25;18.5;8;25.0;1;27.0;12.5;8;25.0;
32;1;15.25;19.5;9;25.0;1;27.0;12.5;8;25.0;
33;1;14.25;20.5;9;25.0;1;27.0;12.5;8;25.0;
34;1;13.25;21.5;9;25.0;1;27.0;12.5;8;25.0;
35;1;12.25;22.5;9;25.0;1;27.0;13.5;8;25.0;
36;1;12.0;23.5;9;25.0;1;27.0;14.5;9;25.0;
37;1;12.0;24.5;10;25.0;1;27.0;15.5;9;25.0;
38;1;12.0;25.5;10;25.0;1;27.0;16.5;9;25.0;
39;1;12.0;26.5;10;25.0;1;27.0;17.5;9;25.0;
40;1;12.0;27.5;11;25.0;1;27.0;17.5;9;25.0;
41;1;12.0;28.5;11;25.0;1;27.0;17.5;9;25.0;
42;1;12.0;29.5;13;25.0;1;27.0;17.5;10;25.0;
43;1;13.0;27.5;13;25.0;2;27.0;17.5;9;25.0;
44;1;12.0;28.5;14;25.0;2;27.0;17.5;9;25.0;
45;1;12.0;29.5;15;25.0;2;27.0;17.5;9;25.0;
46;1;13.0;27.5;15;25.0;2;27.0;17.5;9;25.0;
47;1;12.0;28.5;15;25.0;2;27.0;17.5;9;25.0;
48;1;12.0;29.5;15;25.0;2;27.0;17.5;10;25.0;
49;1;13.0;27.5;15;25.0;2;27.0;17.5;10;25.0;
50;1;14.0;26.5;15;25.0;2;27.0;17.5;10;25.0;
51;1;15.0;25.5;17;25.0;2;27.0;17.5;10;25.0;
52;1;16.0;24.5;17;25.0;2;27.0;17.5;10;25.0;
53;1;17.0;23.5;17;25.0;2;27.0;17.5;10;26.0;
54;1;18.0;22.5;16;25.0;2;28.0;18.5;10;26.0299999714;
55;1;19.0;21.5;16;25.0;2;29.0;19.5;10;26.0605909824;
