Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
3;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
4;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
5;1;12.8999996185;8.625;5;17.25;1;10.0;10.0;5;20.0;
6;1;13.8999996185;8.625;5;17.25;1;11.0;10.0;5;20.0;
7;1;14.8999996185;8.625;5;17.5949993134;1;11.0;10.0;5;20.3999996185;
8;1;15.5569992065;8.79749965668;5;17.8861961365;1;11.1199998856;10.1999998093;5;20.7264003754;
9;1;15.7317180634;8.94309806824;5;18.6667137146;1;11.2179203033;10.3632001877;5;20.9903717041;
10;1;16.2000274658;9.3333568573;5;19.3355960846;2;11.597111702;10.4951858521;4;23.0419120789;
11;1;17.2000274658;9.6677980423;5;19.8991127014;2;11.9125738144;11.0209560394;4;23.964350462;
12;1;18.2000274658;9.94955635071;4;20.3669185638;2;12.1893053055;11.4571752548;4;24.7233815193;
13;1;19.2000274658;10.1834592819;4;20.7504444122;2;14.9275741577;11.8107032776;5;25.3392137289;
14;1;20.2000274658;10.3752222061;4;21.0616092682;2;16.9275741577;12.0916318893;5;25.8345547915;
15;1;21.2000274658;10.5308046341;5;21.25;2;17.9761562347;12.3113050461;5;26.2317328453;
16;1;22.2000274658;10.625;5;21.25;2;18.9935646057;12.4808797836;5;26.3300433159;
17;1;23.2000274658;10.625;5;21.25;2;20.0115871429;12.5;5;26.3921557665;
18;1;24.2000274658;10.625;5;21.25;2;21.0302200317;12.5;5;26.4563041925;
19;1;24.75;10.625;5;21.25;2;21.9368915558;12.5;6;26.5224741697;
20;1;24.75;10.625;5;21.25;2;21.956741333;12.5;5;26.5906432867;
21;1;24.75;10.625;6;21.25;2;21.5;12.9771928787;5;26.6607804298;
22;1;24.75;10.625;6;21.25;2;21.5;12.9982337952;5;26.7328453064;
23;1;24.75;10.625;6;21.25;2;22.0198535919;12.5;5;26.8067884445;
